materia,classe,anno,titolo,keyword_wikipedia
italiano,prim,1,Alfabeto,Alfabeto italiano
italiano,prim,1,Vocali e consonanti,Vocale
italiano,prim,1,Sillabe,Sillaba
italiano,prim,1,Formazione di parole semplici,Parola
italiano,prim,1,Lettura di brevi testi,Lettura
italiano,prim,1,Scrittura di frasi semplici,Scrittura
italiano,prim,1,"Uso della punteggiatura (punto, punto interrogativo, esclamativo)",Punteggiatura
italiano,prim,2,Lettura scorrevole,Lettura
italiano,prim,2,Uso delle doppie,Ortografia
italiano,prim,2,Uso delle maiuscole,Lettera maiuscola e minuscola
italiano,prim,2,Uso delle principali regole ortografiche,Ortografia
italiano,prim,2,Nomi comuni e propri,Nome (grammatica)
italiano,prim,2,Singolare e plurale,Numero grammaticale
italiano,prim,2,Genere maschile e femminile,Genere grammaticale
italiano,prim,2,Verbo (presente indicativo),Verbo
italiano,prim,2,Aggettivi qualificativi,Aggettivo qualificativo
italiano,prim,3,"Analisi grammaticale (nome, articolo, aggettivo, verbo)",Analisi grammaticale
italiano,prim,3,Pronomi personali,Pronome personale
italiano,prim,3,Avverbi,Avverbio
italiano,prim,3,Preposizioni semplici,Preposizione
italiano,prim,3,Uso delle maiuscole e segni di interpunzione,Punteggiatura
italiano,prim,3,"Tempi verbali: presente, passato prossimo, futuro semplice",Tempi verbali
italiano,prim,3,Comprensione del testo narrativo,Testo narrativo
italiano,prim,3,Produzione di testi brevi (racconto personale),Scrittura creativa
italiano,prim,4,Analisi del periodo (frasi semplici e complesse),Analisi del periodo
italiano,prim,4,Uso del dizionario,Dizionario
italiano,prim,4,Sinonimi e contrari,Sinonimo e antonimo
italiano,prim,4,Pronomi possessivi e dimostrativi,Pronome
italiano,prim,4,"Uso corretto dei tempi verbali (imperfetto, trapassato prossimo)",Tempi verbali
italiano,prim,4,Testo descrittivo,Testo descrittivo
italiano,prim,4,Testo informativo,Testo espositivo
italiano,prim,4,Poesia (introduzione),Poesia
italiano,prim,5,Analisi logica,Analisi logica
italiano,prim,5,Espansioni della frase (complementi),Complemento (grammatica)
italiano,prim,5,Coniugazioni verbali complete,Coniugazione (linguistica)
italiano,prim,5,Uso del congiuntivo (introduzione),Congiuntivo
italiano,prim,5,Testo narrativo complesso,Testo narrativo
italiano,prim,5,Testo poetico,Poesia
italiano,prim,5,Testo espositivo,Testo espositivo
italiano,prim,5,Testo argomentativo (introduzione),Testo argomentativo
italiano,prim,5,Comprensione e riassunto di un testo,Riassunto
