materia,classe,anno,titolo,keyword_wikipedia
storia,prim,1,"Concetto di tempo (giorno, notte, stagioni)",Tempo
storia,prim,1,Uso del calendario,Calendario
storia,prim,1,Linea del tempo personale,Linea del tempo
storia,prim,1,Albero genealogico familiare,Albero genealogico
storia,prim,1,Mestieri dei genitori e nonni,Mestiere
storia,prim,1,Fonti della memoria personale,Fonte storica
storia,prim,2,Tempo storico vicino,Tempo storico
storia,prim,2,Storia della famiglia,Famiglia
storia,prim,2,Comunità locale e tradizioni,Tradizioni popolari
storia,prim,2,Testimonianze orali,Tradizione orale
storia,prim,2,Oggetti quotidiani come fonte storica,Cultura materiale
storia,prim,2,"Documenti semplici (lettere, diari)",Documento (archivistica)
storia,prim,3,Preistoria,Preistoria
storia,prim,3,Paleolitico,Paleolitico
storia,prim,3,Neolitico,Neolitico
storia,prim,3,Età dei metalli,Età dei metalli
storia,prim,3,Homo habilis,Homo habilis
storia,prim,3,Homo erectus,Homo erectus
storia,prim,3,Homo sapiens,Homo sapiens
storia,prim,3,Fuoco (invenzione/uso),Fuoco
storia,prim,3,Ruota (invenzione),Ruota
storia,prim,3,Aratro,Aratro
storia,prim,3,Ceramica,Ceramica
storia,prim,3,Pitture rupestri di Lascaux,Grotte di Lascaux
storia,prim,3,Pitture rupestri di Altamira,Grotte di Altamira
storia,prim,3,Mesopotamia,Mesopotamia
storia,prim,3,Sumeri,Sumeri
storia,prim,3,Babilonia,Babilonia
storia,prim,3,Assiri,Assiri
storia,prim,3,Antico Egitto,Antico Egitto
storia,prim,3,Civiltà della valle dell'Indo,Civiltà della valle dell'Indo
storia,prim,3,Cina antica (dinastia Shang),Dinastia Shang
storia,prim,3,Civiltà minoica,Civiltà minoica
storia,prim,3,Civiltà micenea,Civiltà micenea
storia,prim,4,Antica Grecia,Antica Grecia
storia,prim,4,Atene (polis),Atene
storia,prim,4,Sparta (polis),Sparta
storia,prim,4,Giochi olimpici antichi,Giochi olimpici antichi
storia,prim,4,Mitologia greca,Mitologia greca
storia,prim,4,Alessandro Magno,Alessandro Magno
storia,prim,4,Romolo e Remo,Romolo e Remo
storia,prim,4,Monarchia romana,Monarchia romana
storia,prim,4,Repubblica romana,Repubblica romana
storia,prim,4,Impero romano,Impero romano
storia,prim,4,Giulio Cesare,Giulio Cesare
storia,prim,4,Augusto,Augusto
storia,prim,4,Terme romane,Terme romane
storia,prim,4,Legione romana,Legione romana
storia,prim,4,Anfiteatro romano,Anfiteatro
storia,prim,4,Religione romana,Religione romana
storia,prim,4,Caduta dell'Impero romano d'Occidente (476),Caduta dell'Impero romano d'Occidente
storia,prim,5,Medioevo,Medioevo
storia,prim,5,Feudalesimo,Feudalesimo
storia,prim,5,Vita contadina nel Medioevo,Contadini (storia)
storia,prim,5,Mercanti medievali,Mercante
storia,prim,5,Città medievale,Città medievale
storia,prim,5,Monastero e vita monastica,Monastero
storia,prim,5,Carlo Magno,Carlo Magno
storia,prim,5,Sacro Romano Impero,Sacro Romano Impero
storia,prim,5,Crociate,Crociate
storia,prim,5,Mulino ad acqua,Mulino ad acqua
storia,prim,5,Stampa a caratteri mobili,Stampa a caratteri mobili
storia,prim,5,Scoperte geografiche,Scoperte geografiche
storia,prim,5,Cristoforo Colombo,Cristoforo Colombo
storia,prim,5,Vasco da Gama,Vasco da Gama
storia,prim,5,Ferdinando Magellano,Ferdinando Magellano
storia,prim,5,Rinascimento,Rinascimento
storia,prim,5,Leonardo da Vinci,Leonardo da Vinci
storia,prim,5,Michelangelo Buonarroti,Michelangelo Buonarroti
storia,prim,5,Galileo Galilei,Galileo Galilei
storia,prim,5,Monarchia assoluta (Luigi XIV),Luigi XIV di Francia
storia,prim,5,Rivoluzione francese,Rivoluzione francese
storia,prim,5,Rivoluzione industriale,Rivoluzione industriale
storia,prim,5,Unità d'Italia,Risorgimento
storia,prim,5,Giuseppe Garibaldi,Giuseppe Garibaldi
storia,prim,5,"Camillo Benso, conte di Cavour","Camillo Benso, conte di Cavour"
storia,prim,5,Vittorio Emanuele II,Vittorio Emanuele II
geografia,prim,1,Spazio vicino e lontano,Spazio
geografia,prim,1,Orientamento nello spazio,Orientamento (geografia)
geografia,prim,1,Destra e sinistra,Destra e sinistra
geografia,prim,1,Piantina dell’aula,Pianta (architettura)
geografia,prim,1,Punti di riferimento,Punto di riferimento
geografia,prim,2,"Ambienti della vita quotidiana (casa, scuola, quartiere)",Ambiente (geografia)
geografia,prim,2,Mappe semplici,Mappa
geografia,prim,2,Paesaggio naturale e antropico,Paesaggio
geografia,prim,2,"Elementi naturali (monti, fiumi, laghi)",Geografia fisica
geografia,prim,2,Punti cardinali,Punti cardinali
geografia,prim,3,Italia: regioni fisiche principali,Geografia dell'Italia
geografia,prim,3,Fiumi italiani,Fiumi d'Italia
geografia,prim,3,Laghi italiani,Laghi d'Italia
geografia,prim,3,Montagne italiane,Alpi
geografia,prim,3,Colline italiane,Collina
geografia,prim,3,Pianure italiane,Pianura Padana
geografia,prim,3,Clima in Italia,Clima in Italia
geografia,prim,3,Carte geografiche (fisiche e politiche),Carta geografica
geografia,prim,4,Italia: regioni amministrative,Regioni d'Italia
geografia,prim,4,Province italiane,Province d'Italia
geografia,prim,4,Comuni italiani,Comuni d'Italia
geografia,prim,4,Stati dell’Europa,Europa
geografia,prim,4,Paesi e capitali europee,Capitali d'Europa
geografia,prim,4,Climi europei,Clima (Europa)
geografia,prim,4,Paesaggi europei,Geografia dell'Europa
geografia,prim,5,Continenti,Continente
geografia,prim,5,Oceani,Oceano
geografia,prim,5,Africa (paesi e caratteristiche),Africa
geografia,prim,5,America (paesi e caratteristiche),America
geografia,prim,5,Asia (paesi e caratteristiche),Asia
geografia,prim,5,Oceania (paesi e caratteristiche),Oceania
geografia,prim,5,Antartide,Antartide
geografia,prim,5,Climi del mondo,Clima
geografia,prim,5,Popolazione mondiale,Demografia
geografia,prim,5,"Carte tematiche (fisiche, politiche, economiche)",Carta tematica
italiano,prim,1,Alfabeto,Alfabeto italiano
italiano,prim,1,Vocali e consonanti,Vocale
italiano,prim,1,Sillabe,Sillaba
italiano,prim,1,Formazione di parole semplici,Parola
italiano,prim,1,Lettura di brevi testi,Lettura
italiano,prim,1,Scrittura di frasi semplici,Scrittura
italiano,prim,1,"Uso della punteggiatura (punto, punto interrogativo, esclamativo)",Punteggiatura
italiano,prim,2,Lettura scorrevole,Lettura
italiano,prim,2,Uso delle doppie,Ortografia
italiano,prim,2,Uso delle maiuscole,Lettera maiuscola e minuscola
italiano,prim,2,Uso delle principali regole ortografiche,Ortografia
italiano,prim,2,Nomi comuni e propri,Nome (grammatica)
italiano,prim,2,Singolare e plurale,Numero grammaticale
italiano,prim,2,Genere maschile e femminile,Genere grammaticale
italiano,prim,2,Verbo (presente indicativo),Verbo
italiano,prim,2,Aggettivi qualificativi,Aggettivo qualificativo
italiano,prim,3,"Analisi grammaticale (nome, articolo, aggettivo, verbo)",Analisi grammaticale
italiano,prim,3,Pronomi personali,Pronome personale
italiano,prim,3,Avverbi,Avverbio
italiano,prim,3,Preposizioni semplici,Preposizione
italiano,prim,3,Uso delle maiuscole e segni di interpunzione,Punteggiatura
italiano,prim,3,"Tempi verbali: presente, passato prossimo, futuro semplice",Tempi verbali
italiano,prim,3,Comprensione del testo narrativo,Testo narrativo
italiano,prim,3,Produzione di testi brevi (racconto personale),Scrittura creativa
italiano,prim,4,Analisi del periodo (frasi semplici e complesse),Analisi del periodo
italiano,prim,4,Uso del dizionario,Dizionario
italiano,prim,4,Sinonimi e contrari,Sinonimo e antonimo
italiano,prim,4,Pronomi possessivi e dimostrativi,Pronome
italiano,prim,4,"Uso corretto dei tempi verbali (imperfetto, trapassato prossimo)",Tempi verbali
italiano,prim,4,Testo descrittivo,Testo descrittivo
italiano,prim,4,Testo informativo,Testo espositivo
italiano,prim,4,Poesia (introduzione),Poesia
italiano,prim,5,Analisi logica,Analisi logica
italiano,prim,5,Espansioni della frase (complementi),Complemento (grammatica)
italiano,prim,5,Coniugazioni verbali complete,Coniugazione (linguistica)
italiano,prim,5,Uso del congiuntivo (introduzione),Congiuntivo
italiano,prim,5,Testo narrativo complesso,Testo narrativo
italiano,prim,5,Testo poetico,Poesia
italiano,prim,5,Testo espositivo,Testo espositivo
italiano,prim,5,Testo argomentativo (introduzione),Testo argomentativo
italiano,prim,5,Comprensione e riassunto di un testo,Riassunto
italiano,prim,1,Alfabeto,Alfabeto italiano
italiano,prim,1,Vocali e consonanti,Vocale
italiano,prim,1,Sillabe,Sillaba
italiano,prim,1,Formazione di parole semplici,Parola
italiano,prim,1,Lettura di brevi testi,Lettura
italiano,prim,1,Scrittura di frasi semplici,Scrittura
italiano,prim,1,"Uso della punteggiatura (punto, punto interrogativo, esclamativo)",Punteggiatura
italiano,prim,2,Lettura scorrevole,Lettura
italiano,prim,2,Uso delle doppie,Ortografia
italiano,prim,2,Uso delle maiuscole,Lettera maiuscola e minuscola
italiano,prim,2,Uso delle principali regole ortografiche,Ortografia
italiano,prim,2,Nomi comuni e propri,Nome (grammatica)
italiano,prim,2,Singolare e plurale,Numero grammaticale
italiano,prim,2,Genere maschile e femminile,Genere grammaticale
italiano,prim,2,Verbo (presente indicativo),Verbo
italiano,prim,2,Aggettivi qualificativi,Aggettivo qualificativo
italiano,prim,3,"Analisi grammaticale (nome, articolo, aggettivo, verbo)",Analisi grammaticale
italiano,prim,3,Pronomi personali,Pronome personale
italiano,prim,3,Avverbi,Avverbio
italiano,prim,3,Preposizioni semplici,Preposizione
italiano,prim,3,Uso delle maiuscole e segni di interpunzione,Punteggiatura
italiano,prim,3,"Tempi verbali: presente, passato prossimo, futuro semplice",Tempi verbali
italiano,prim,3,Comprensione del testo narrativo,Testo narrativo
italiano,prim,3,Produzione di testi brevi (racconto personale),Scrittura creativa
italiano,prim,4,Analisi del periodo (frasi semplici e complesse),Analisi del periodo
italiano,prim,4,Uso del dizionario,Dizionario
italiano,prim,4,Sinonimi e contrari,Sinonimo e antonimo
italiano,prim,4,Pronomi possessivi e dimostrativi,Pronome
italiano,prim,4,"Uso corretto dei tempi verbali (imperfetto, trapassato prossimo)",Tempi verbali
italiano,prim,4,Testo descrittivo,Testo descrittivo
italiano,prim,4,Testo informativo,Testo espositivo
italiano,prim,4,Poesia (introduzione),Poesia
italiano,prim,5,Analisi logica,Analisi logica
italiano,prim,5,Espansioni della frase (complementi),Complemento (grammatica)
italiano,prim,5,Coniugazioni verbali complete,Coniugazione (linguistica)
italiano,prim,5,Uso del congiuntivo (introduzione),Congiuntivo
italiano,prim,5,Testo narrativo complesso,Testo narrativo
italiano,prim,5,Testo poetico,Poesia
italiano,prim,5,Testo espositivo,Testo espositivo
italiano,prim,5,Testo argomentativo (introduzione),Testo argomentativo
italiano,prim,5,Comprensione e riassunto di un testo,Riassunto
matematica,prim,1,Numeri da 0 a 20,Numeri naturali
matematica,prim,1,Concetto di zero,Zero
matematica,prim,1,Contare avanti e indietro,Contare
matematica,prim,1,"Maggiore, minore, uguale",Disuguaglianza (matematica)
matematica,prim,1,Addizione (introduzione),Addizione
matematica,prim,1,Sottrazione (introduzione),Sottrazione
matematica,prim,1,Figure piane: quadrato,Quadrato (geometria)
matematica,prim,1,Figure piane: rettangolo,Rettangolo
matematica,prim,1,Figure piane: cerchio,Cerchio
matematica,prim,1,Figure piane: triangolo,Triangolo
matematica,prim,1,Linea retta e curva,Linea (geometria)
matematica,prim,1,Tempo: giorni e mesi,Calendario
matematica,prim,2,Numeri fino a 100,Sistema numerico decimale
matematica,prim,2,Valore posizionale (decine/unità),Valore posizionale
matematica,prim,2,Addizione con riporto,Addizione
matematica,prim,2,Sottrazione con prestito,Sottrazione
matematica,prim,2,Moltiplicazione (introduzione),Moltiplicazione
