materia,classe,anno,titolo,keyword_wikipedia
storia,prim,1,"Concetto di tempo (giorno, notte, stagioni)",Tempo
storia,prim,1,Uso del calendario,Calendario
storia,prim,1,Linea del tempo personale,Linea del tempo
storia,prim,1,Albero genealogico familiare,Albero genealogico
storia,prim,1,Mestieri dei genitori e nonni,Mestiere
storia,prim,1,Fonti della memoria personale,Fonte storica
storia,prim,2,Tempo storico vicino,Tempo storico
storia,prim,2,Storia della famiglia,Famiglia
storia,prim,2,Comunità locale e tradizioni,Tradizioni popolari
storia,prim,2,Testimonianze orali,Tradizione orale
storia,prim,2,Oggetti quotidiani come fonte storica,Cultura materiale
storia,prim,2,"Documenti semplici (lettere, diari)",Documento (archivistica)
storia,prim,3,Preistoria,Preistoria
storia,prim,3,Paleolitico,Paleolitico
storia,prim,3,Neolitico,Neolitico
storia,prim,3,Età dei metalli,Età dei metalli
storia,prim,3,Homo habilis,Homo habilis
storia,prim,3,Homo erectus,Homo erectus
storia,prim,3,Homo sapiens,Homo sapiens
storia,prim,3,Fuoco (invenzione/uso),Fuoco
storia,prim,3,Ruota (invenzione),Ruota
storia,prim,3,Aratro,Aratro
storia,prim,3,Ceramica,Ceramica
storia,prim,3,Pitture rupestri di Lascaux,Grotte di Lascaux
storia,prim,3,Pitture rupestri di Altamira,Grotte di Altamira
storia,prim,3,Mesopotamia,Mesopotamia
storia,prim,3,Sumeri,Sumeri
storia,prim,3,Babilonia,Babilonia
storia,prim,3,Assiri,Assiri
storia,prim,3,Antico Egitto,Antico Egitto
storia,prim,3,Civiltà della valle dell'Indo,Civiltà della valle dell'Indo
storia,prim,3,Cina antica (dinastia Shang),Dinastia Shang
storia,prim,3,Civiltà minoica,Civiltà minoica
storia,prim,3,Civiltà micenea,Civiltà micenea
storia,prim,4,Antica Grecia,Antica Grecia
storia,prim,4,Atene (polis),Atene
storia,prim,4,Sparta (polis),Sparta
storia,prim,4,Giochi olimpici antichi,Giochi olimpici antichi
storia,prim,4,Mitologia greca,Mitologia greca
storia,prim,4,Alessandro Magno,Alessandro Magno
storia,prim,4,Romolo e Remo,Romolo e Remo
storia,prim,4,Monarchia romana,Monarchia romana
storia,prim,4,Repubblica romana,Repubblica romana
storia,prim,4,Impero romano,Impero romano
storia,prim,4,Giulio Cesare,Giulio Cesare
storia,prim,4,Augusto,Augusto
storia,prim,4,Terme romane,Terme romane
storia,prim,4,Legione romana,Legione romana
storia,prim,4,Anfiteatro romano,Anfiteatro
storia,prim,4,Religione romana,Religione romana
storia,prim,4,Caduta dell'Impero romano d'Occidente (476),Caduta dell'Impero romano d'Occidente
storia,prim,5,Medioevo,Medioevo
storia,prim,5,Feudalesimo,Feudalesimo
storia,prim,5,Vita contadina nel Medioevo,Contadini (storia)
storia,prim,5,Mercanti medievali,Mercante
storia,prim,5,Città medievale,Città medievale
storia,prim,5,Monastero e vita monastica,Monastero
storia,prim,5,Carlo Magno,Carlo Magno
storia,prim,5,Sacro Romano Impero,Sacro Romano Impero
storia,prim,5,Crociate,Crociate
storia,prim,5,Mulino ad acqua,Mulino ad acqua
storia,prim,5,Stampa a caratteri mobili,Stampa a caratteri mobili
storia,prim,5,Scoperte geografiche,Scoperte geografiche
storia,prim,5,Cristoforo Colombo,Cristoforo Colombo
storia,prim,5,Vasco da Gama,Vasco da Gama
storia,prim,5,Ferdinando Magellano,Ferdinando Magellano
storia,prim,5,Rinascimento,Rinascimento
storia,prim,5,Leonardo da Vinci,Leonardo da Vinci
storia,prim,5,Michelangelo Buonarroti,Michelangelo Buonarroti
storia,prim,5,Galileo Galilei,Galileo Galilei
storia,prim,5,Monarchia assoluta (Luigi XIV),Luigi XIV di Francia
storia,prim,5,Rivoluzione francese,Rivoluzione francese
storia,prim,5,Rivoluzione industriale,Rivoluzione industriale
storia,prim,5,Unità d'Italia,Risorgimento
storia,prim,5,Giuseppe Garibaldi,Giuseppe Garibaldi
storia,prim,5,"Camillo Benso, conte di Cavour","Camillo Benso, conte di Cavour"
storia,prim,5,Vittorio Emanuele II,Vittorio Emanuele II
